,problem,expected_answer,gpt4_answer,is_correct
0,"Question: What is sixty-five thousand, three hundred and sixty plus sixteen thousand, two hundred and four?
Answer:",81564,81564,True
1,"Question: What is ninety-one thousand, one hundred and sixty-nine plus fifty-seven thousand, two hundred and twenty-three?
Answer:",148392,148392,True
2,"Question: What is fifty-two thousand, eight hundred and eighty-eight plus fifty-two thousand, two hundred and forty?
Answer:",105128,105128,True
3,"Question: What is thirty-five thousand, seven hundred and forty-two plus seventy-eight thousand, six hundred and sixty?
Answer:",114402,114402,True
4,"Question: What is sixty-nine thousand and seventy-four plus ninety thousand, four hundred and thirty-one?
Answer:",159505,159505,True
5,"Question: What is sixty-one thousand, five hundred and thirty plus eighty-three thousand and thirty-five?
Answer:",144565,144565,True
6,"Question: What is ninety-eight thousand, nine hundred and one plus six thousand and four?
Answer:",104905,104905,True
7,"Question: What is sixty thousand and ninety-seven plus thirty-eight thousand and ninety-seven?
Answer:",98194,98194,True
8,"Question: What is thirty-five thousand, seven hundred and seventy-nine plus seventy-nine thousand, seven hundred and seventeen?
Answer:",115496,115496,True
9,"Question: What is sixty-seven thousand, two hundred and fifty-five plus ninety-nine thousand, one hundred and sixty-eight?
Answer:",166423,166423,True
10,"Question: What is sixteen thousand, five hundred and sixty-six plus seventy-two thousand, three hundred and seventy-eight?
Answer:",88944,88944,True
11,"Question: What is fourteen thousand, one hundred and twenty-seven plus seventy-nine thousand, eight hundred and four?
Answer:",93931,93931,True
12,"Question: What is eighty-six thousand, six hundred and thirty-five plus eighty-three thousand, six hundred and fifty-five?
Answer:",170290,170290,True
13,"Question: What is forty thousand, two hundred and fifty-two plus sixty-eight thousand, eight hundred and twenty-five?
Answer:",109077,108077,False
14,"Question: What is eighty-four thousand, one hundred and sixty-nine plus eighty-nine thousand, seven hundred and ninety-eight?
Answer:",173967,173967,True
15,"Question: What is forty-six thousand, nine hundred and twenty-three plus twenty-seven thousand, two hundred and twenty-seven?
Answer:",74150,74150,True
16,"Question: What is sixty-nine thousand, six hundred and thirty-five plus forty-nine thousand, eight hundred and fifty-nine?
Answer:",119494,119494,True
17,"Question: What is eighty-five thousand, four hundred and four plus nine thousand, seven hundred and ninety-five?
Answer:",95199,95199,True
18,"Question: What is ninety-three thousand, seven hundred and fifty-two plus fifty-three thousand, six hundred and seventy-two?
Answer:",147424,147424,True
19,"Question: What is fifty-two thousand, five hundred and nineteen plus forty-eight thousand, two hundred and ninety-seven?
Answer:",100816,100816,True
20,"Question: What is seventy thousand, four hundred and twelve plus twenty-two thousand, four hundred and sixty-five?
Answer:",92877,92877,True
21,"Question: What is forty thousand, two hundred and fifty-six plus fifty-nine thousand, four hundred and ninety?
Answer:",99746,99746,True
22,"Question: What is thirty-three thousand, seven hundred and thirteen plus twenty-six thousand, eight hundred and seventy-five?
Answer:",60588,60588,True
23,"Question: What is eighty-six thousand, nine hundred and sixty-eight plus thirty-seven thousand, eight hundred and seventy-three?
Answer:",124841,124841,True
24,"Question: What is forty-six thousand, one hundred and sixty-eight plus ninety-two thousand, five hundred and eighty-eight?
Answer:",138756,138756,True
25,"Question: What is thirty-four thousand, three hundred and twenty plus seventy-four thousand, four hundred and thirty-seven?
Answer:",108757,108757,True
26,"Question: What is one hundred and thirty-two plus seventy-nine thousand, seven hundred and seventy-eight?
Answer:",79910,79910,True
27,"Question: What is seventy-six thousand and sixty-five plus fifty-five thousand, eight hundred and twenty-two?
Answer:",131887,131887,True
28,"Question: What is thirty-four thousand, one hundred and twenty-seven plus sixty-three thousand, six hundred and eighty-nine?
Answer:",97816,97816,True
29,"Question: What is eighty-five thousand and eighty-one plus six thousand, nine hundred and ninety-four?
Answer:",92075,91075,False
30,"Question: What is sixty-eight thousand, four hundred and four plus forty-five thousand, four hundred and twenty?
Answer:",113824,113824,True
31,"Question: What is eighty-nine thousand, eight hundred and eleven plus seventy thousand, two hundred and eighty-two?
Answer:",160093,160093,True
32,"Question: What is forty-nine thousand, six hundred and seventy-seven plus forty-four thousand, four hundred and forty-six?
Answer:",94123,94123,True
33,"Question: What is twenty-six thousand, seven hundred and three plus seventy-six thousand, six hundred and thirty-five?
Answer:",103338,103338,True
34,"Question: What is twenty thousand, four hundred and thirty-seven plus thirteen thousand and ninety-nine?
Answer:",33536,33536,True
35,"Question: What is forty-seven thousand, three hundred and nine plus sixty thousand, five hundred and forty-two?
Answer:",107851,107851,True
36,"Question: What is forty-three thousand, seven hundred and ninety-six plus ninety-seven thousand, three hundred and eighty-one?
Answer:",141177,141177,True
37,"Question: What is seventy-eight thousand, two hundred and thirty-one plus seventy-five thousand, seven hundred and eighty-two?
Answer:",154013,153013,False
38,"Question: What is thirty-eight thousand, three hundred and four plus nine thousand, one hundred and seventy-three?
Answer:",47477,47477,True
39,"Question: What is eighty-nine thousand, five hundred and fifty-six plus fifty-two thousand, four hundred and fifty-six?
Answer:",142012,142012,True
40,"Question: What is fifty thousand, three hundred and twenty-seven plus three hundred and seventy?
Answer:",50697,50697,True
41,"Question: What is ninety-two thousand, six hundred and five plus seven thousand, eight hundred and twenty-four?
Answer:",100429,100429,True
42,"Question: What is one thousand, five hundred and ninety plus forty-nine thousand, six hundred and sixty-nine?
Answer:",51259,51259,True
43,"Question: What is sixty-three thousand, three hundred and eighty plus two thousand, three hundred and eighty-one?
Answer:",65761,65761,True
44,"Question: What is seventy-eight thousand, six hundred and thirty-three plus thirty-nine thousand and ninety?
Answer:",117723,117723,True
45,"Question: What is seventy-six thousand, five hundred and fifty plus fourteen thousand, two hundred and ninety-eight?
Answer:",90848,90848,True
46,"Question: What is twenty-seven thousand, eight hundred and fifty-eight plus five thousand, four hundred and ninety-four?
Answer:",33352,33352,True
47,"Question: What is ten thousand, three hundred and seventy-four plus fifty-seven thousand, four hundred and twenty-one?
Answer:",67795,67795,True
48,"Question: What is two thousand, three hundred and five plus thirty-seven thousand, eight hundred and nine?
Answer:",40114,40114,True
49,"Question: What is thirty-eight thousand, three hundred and thirty-four plus forty-six thousand, three hundred and fifty-five?
Answer:",84689,84689,True
50,"Question: What is fifty-six thousand, seven hundred and seventy-seven plus forty-five thousand, four hundred and eight?
Answer:",102185,102185,True
51,"Question: What is two thousand, one hundred and thirty-five plus twenty-one thousand, five hundred and twenty-eight?
Answer:",23663,23663,True
52,"Question: What is forty-eight thousand, one hundred and forty-one plus fifty-three thousand, six hundred and eighteen?
Answer:",101759,101759,True
