,problem,expected_answer,gpt4_answer,is_correct
0,"Question: What is forty thousand, six hundred and forty-nine minus seventy-eight thousand, seven hundred and forty-six?
Answer:",-38097,-38097,True
1,"Question: What is four thousand, three hundred and forty-four minus forty-eight thousand, eight hundred and eighty-eight?
Answer:",-44544,-44544,True
2,"Question: What is twenty-one thousand, eight hundred and fifty-one minus sixty-seven thousand and eighty-nine?
Answer:",-45238,-45238,True
3,"Question: What is twenty-three thousand, nine hundred and thirty-five minus twenty-seven thousand, five hundred and seventy-one?
Answer:",-3636,-3636,True
4,"Question: What is eighty-eight thousand, nine hundred and fifty-six minus sixty-two thousand, eight hundred and ten?
Answer:",26146,26146,True
5,"Question: What is forty-nine thousand, six hundred and eight minus eight thousand, seven hundred and fifty-one?
Answer:",40857,40857,True
6,"Question: What is seventy-seven thousand, five hundred and forty-eight minus eighty-four thousand and twenty-seven?
Answer:",-6479,-6479,True
7,"Question: What is fifty-two thousand, seven hundred and ninety-three minus ninety-one thousand, eight hundred and twelve?
Answer:",-39019,-39019,True
8,"Question: What is forty-nine thousand and ninety-seven minus ninety-two thousand, seven hundred and fourteen?
Answer:",-43617,-43617,True
9,"Question: What is ten thousand, four hundred and twenty-nine minus nine thousand, four hundred and eighty-nine?
Answer:",940,940,True
10,"Question: What is twenty-six thousand, seven hundred and eighty-one minus twenty-two thousand, six hundred and four?
Answer:",4177,4177,True
11,"Question: What is fourteen thousand, six hundred and twenty-nine minus nine thousand, five hundred and seventy-four?
Answer:",5055,5055,True
12,"Question: What is fifty thousand, one hundred and eight minus twenty-two thousand, five hundred and sixty-six?
Answer:",27542,27542,True
13,"Question: What is seventy-six thousand, three hundred and thirty-two minus twenty-nine thousand, nine hundred and seventy-four?
Answer:",46358,46358,True
14,"Question: What is sixty-seven thousand, two hundred and nineteen minus eighty-five thousand, one hundred and eight?
Answer:",-17889,-17889,True
15,"Question: What is eighty-eight thousand, three hundred and twenty-nine minus ninety-nine thousand, nine hundred and seventy-three?
Answer:",-11644,-11644,True
16,"Question: What is eighty-one thousand and nine minus two thousand, three hundred and fifty-six?
Answer:",78653,78643,False
17,"Question: What is twenty-six thousand, seven hundred and thirty-two minus thirty-one thousand and nineteen?
Answer:",-4287,-4287,True
18,"Question: What is sixty-nine thousand, six hundred and fifty-nine minus sixty-three thousand, eight hundred and thirty-eight?
Answer:",5821,5821,True
19,"Question: What is forty-five thousand, nine hundred and six minus ninety-seven thousand, nine hundred and nine?
Answer:",-52003,-52003,True
20,"Question: What is eighty-two thousand, nine hundred and twenty-four minus eighteen thousand, nine hundred and eighteen?
Answer:",64006,64006,True
21,"Question: What is ninety-three thousand, nine hundred and forty-nine minus fifty-eight thousand, six hundred and seventy?
Answer:",35279,35279,True
22,"Question: What is fifty-two thousand, seven hundred and eighty-six minus thirty thousand, eight hundred and seventeen?
Answer:",21969,21969,True
23,"Question: What is twelve thousand and one minus eighty-six thousand, seven hundred and seven?
Answer:",-74706,-74706,True
24,"Question: What is ninety-five thousand, eight hundred and eight minus forty-eight thousand, three hundred and seventy-six?
Answer:",47432,47432,True
25,"Question: What is twenty-eight thousand, six hundred and thirty-two minus fifteen thousand, one hundred and two?
Answer:",13530,13530,True
26,"Question: What is seventy-one thousand, six hundred and four minus seventeen thousand, six hundred and ninety-seven?
Answer:",53907,53907,True
27,"Question: What is thirty-one thousand, seven hundred and twenty-one minus fifty-one thousand, four hundred and seventeen?
Answer:",-19696,-19796,False
28,"Question: What is fifty-seven thousand, eight hundred and thirty-six minus eighty-one thousand, three hundred and fifty-seven?
Answer:",-23521,-23521,True
29,"Question: What is seventy-three thousand, six hundred and twenty-four minus forty thousand, seven hundred and seventy-seven?
Answer:",32847,32847,True
30,"Question: What is sixty-four thousand, one hundred and sixteen minus seventy-six thousand, two hundred and thirty-eight?
Answer:",-12122,-12122,True
31,"Question: What is seventy-eight thousand, four hundred and twenty minus seventy-seven thousand, six hundred and ninety-eight?
Answer:",722,722,True
32,"Question: What is ninety-four thousand, two hundred and thirty-six minus thirty-seven thousand, three hundred and one?
Answer:",56935,56935,True
33,"Question: What is fifty-two thousand, six hundred and seventy-three minus forty thousand and seventy-six?
Answer:",12597,12597,True
34,"Question: What is twenty-three thousand, seven hundred and fifty-one minus seventy-five thousand, nine hundred and sixty-five?
Answer:",-52214,-52214,True
35,"Question: What is twenty-nine thousand, eight hundred and ten minus seventy-six thousand, eight hundred and fifty-one?
Answer:",-47041,-47041,True
36,"Question: What is thirty-two thousand, three hundred and thirty-three minus forty-eight thousand and twenty-six?
Answer:",-15693,-15693,True
37,"Question: What is four thousand, three hundred and eight minus seventy thousand, six hundred and eighty-five?
Answer:",-66377,-66477,False
38,"Question: What is forty thousand, seven hundred and fifteen minus sixty-nine thousand, one hundred and eighty-nine?
Answer:",-28474,-28474,True
39,"Question: What is one thousand, two hundred and eighty-four minus seventeen thousand, three hundred and eighty-one?
Answer:",-16097,-16097,True
40,"Question: What is twenty-five thousand and sixty minus twenty-seven thousand, two hundred and twenty-one?
Answer:",-2161,-2161,True
41,"Question: What is eighty-six thousand, four hundred and eighty-seven minus twenty thousand, six hundred and thirty-eight?
Answer:",65849,65849,True
42,"Question: What is thirty-five thousand, three hundred and fourteen minus sixty-five thousand, eight hundred and eighty-six?
Answer:",-30572,-30572,True
43,"Question: What is eighty-four thousand, three hundred and fifty-four minus ninety-one thousand and fifty-seven?
Answer:",-6703,-6703,True
44,"Question: What is thirteen thousand, three hundred and eighty-eight minus seventy-five thousand, six hundred and fifty-nine?
Answer:",-62271,-62271,True
45,"Question: What is fifty-seven thousand, two hundred and sixteen minus sixty thousand, one hundred and forty-six?
Answer:",-2930,-2930,True
46,"Question: What is five thousand, eight hundred and forty-seven minus ninety-eight thousand, four hundred and forty-two?
Answer:",-92595,-92595,True
47,"Question: What is ninety-nine thousand, one hundred and three minus fifteen thousand and four?
Answer:",84099,84099,True
48,"Question: What is ten thousand, seven hundred and ninety-nine minus seventeen thousand, nine hundred and four?
Answer:",-7105,-7205,False
49,"Question: What is eighty-two thousand, nine hundred and fifty-five minus thirty-two thousand, one hundred and thirty-five?
Answer:",50820,50820,True
50,"Question: What is eleven thousand, seven hundred and twenty-eight minus ninety-seven thousand, one hundred and thirty-nine?
Answer:",-85411,-85411,True
51,"Question: What is sixteen thousand, three hundred and seventy minus seventeen thousand, two hundred and seventy-six?
Answer:",-906,-1906,False
52,"Question: What is nine thousand, five hundred and eighty-two minus sixty-seven thousand, six hundred and eighty-eight?
Answer:",-58106,-58106,True
53,"Question: What is fifteen thousand, nine hundred and seventy-nine minus eighty-four thousand, three hundred and thirty-one?
Answer:",-68352,-68352,True
54,"Question: What is one thousand, two hundred and sixty-nine minus sixty-two thousand, nine hundred and twenty-nine?
Answer:",-61660,-61660,True
55,"Question: What is thirty-eight thousand, seven hundred minus forty-six thousand, eight hundred and fifty-nine?
Answer:",-8159,-81159,False
56,"Question: What is sixty-six thousand, seven hundred minus forty-four thousand, six hundred and forty?
Answer:",22060,22060,True
57,"Question: What is sixty-eight thousand, one hundred and fifty-six minus seventy-three thousand, two hundred and six?
Answer:",-5050,-5050,True
58,"Question: What is sixty-one thousand and forty-six minus three thousand, five hundred and sixty-two?
Answer:",57484,57484,True
59,"Question: What is seventy-seven thousand, one hundred and ninety-six minus twenty-four thousand and fifty-seven?
Answer:",53139,53139,True
60,"Question: What is forty-two thousand, two hundred and four minus eighty-five thousand, nine hundred and ninety?
Answer:",-43786,-43886,False
61,"Question: What is twenty-seven thousand, one hundred and fifteen minus fifty-eight thousand, four hundred and seventy-nine?
Answer:",-31364,-31364,True
62,"Question: What is eighty-eight thousand and fifty-one minus sixty-nine thousand and sixty-five?
Answer:",18986,18986,True
63,"Question: What is ninety-one thousand and eighty-three minus fifty thousand, six hundred and fifty-two?
Answer:",40431,40431,True
64,"Question: What is forty-one thousand, seven hundred and forty-one minus seven thousand, three hundred and fifty-six?
Answer:",34385,34385,True
65,"Question: What is one thousand, nine hundred and ten minus sixty-five thousand, eight hundred and twenty-five?
Answer:",-63915,-63915,True
66,"Question: What is ninety-eight thousand, seven hundred and twenty-seven minus sixty-four thousand, three hundred and twenty-four?
Answer:",34403,34403,True
67,"Question: What is one thousand, nine hundred and fourteen minus eighty-seven thousand, nine hundred and sixty-four?
Answer:",-86050,-86050,True
