,problem,expected_answer,gpt4_answer,is_correct
0,"Question: What is five hundred and nine minus four hundred and eighty-eight?
Answer:",21,21,True
1,"Question: What is eighty-seven minus two hundred and fifty-one?
Answer:",-164,-164,True
2,"Question: What is eight hundred and fifty-one minus fifty-six?
Answer:",795,795,True
3,"Question: What is three hundred and eighty-five minus two hundred and eleven?
Answer:",174,174,True
4,"Question: What is four hundred and sixty-two minus seven hundred and sixty-two?
Answer:",-300,-300,True
5,"Question: What is one hundred and five minus eight hundred and forty-six?
Answer:",-741,-741,True
6,"Question: What is two hundred and ninety-nine minus nine hundred and sixty-five?
Answer:",-666,-666,True
7,"Question: What is nine hundred and ninety-three minus forty?
Answer:",953,953,True
8,"Question: What is nine hundred and sixty-five minus two hundred and fifty-four?
Answer:",711,711,True
9,"Question: What is seven hundred and twenty-five minus nine hundred and sixty-four?
Answer:",-239,-239,True
10,"Question: What is three hundred and eighty-two minus four hundred and seventy-eight?
Answer:",-96,-96,True
11,"Question: What is two hundred and twenty-seven minus two hundred and fourteen?
Answer:",13,13,True
12,"Question: What is two hundred and fifty minus one hundred and four?
Answer:",146,146,True
13,"Question: What is two hundred and four minus nine hundred and ninety-three?
Answer:",-789,-789,True
14,"Question: What is three hundred and fifty minus three hundred and thirty-three?
Answer:",17,17,True
15,"Question: What is four hundred and fifty-eight minus eleven?
Answer:",447,447,True
16,"Question: What is one hundred and fifty-six minus five hundred and ninety-one?
Answer:",-435,-435,True
17,"Question: What is six hundred and forty-nine minus seven hundred and thirty-five?
Answer:",-86,-86,True
18,"Question: What is three hundred and forty-five minus seven hundred and seven?
Answer:",-362,-362,True
19,"Question: What is three hundred and sixty-nine minus eight hundred and sixty-seven?
Answer:",-498,-498,True
20,"Question: What is four hundred and eighty-nine minus two hundred and eighty?
Answer:",209,209,True
21,"Question: What is seven hundred and forty minus eight hundred and sixty-nine?
Answer:",-129,-129,True
22,"Question: What is six hundred and ninety-one minus two hundred and sixty-five?
Answer:",426,426,True
23,"Question: What is one hundred and twenty-seven minus three hundred and ninety?
Answer:",-263,-263,True
24,"Question: What is three hundred and fifty-eight minus eight hundred and sixty-seven?
Answer:",-509,-509,True
25,"Question: What is eight hundred and ninety-five minus nine hundred and forty-six?
Answer:",-51,-51,True
26,"Question: What is eight hundred and nine minus two hundred and seventy?
Answer:",539,539,True
27,"Question: What is thirty-six minus three hundred and twenty?
Answer:",-284,-284,True
28,"Question: What is six hundred and twenty-six minus nine hundred and ninety-four?
Answer:",-368,-368,True
29,"Question: What is one hundred and ten minus three hundred and nine?
Answer:",-199,-199,True
30,"Question: What is three hundred and sixty-eight minus nine hundred and fifty-one?
Answer:",-583,-583,True
31,"Question: What is four hundred and sixty-two minus seven hundred and thirty-five?
Answer:",-273,-273,True
32,"Question: What is six hundred and fifty-three minus nine hundred and six?
Answer:",-253,-253,True
33,"Question: What is five hundred and six minus three hundred and fifty-one?
Answer:",155,155,True
34,"Question: What is three hundred and sixty-three minus nine hundred and forty-eight?
Answer:",-585,-585,True
35,"Question: What is seven hundred and seventy-seven minus one hundred and fifty-nine?
Answer:",618,618,True
36,"Question: What is three minus four hundred and forty-six?
Answer:",-443,-443,True
37,"Question: What is nine hundred and fifty-nine minus two hundred and ninety-two?
Answer:",667,667,True
38,"Question: What is three hundred and twenty minus eight hundred and seventy?
Answer:",-550,-550,True
39,"Question: What is one hundred and fifty-one minus one hundred and forty-four?
Answer:",7,7,True
40,"Question: What is eight hundred and eighty-nine minus five hundred and sixty-eight?
Answer:",321,321,True
41,"Question: What is one hundred and sixty-two minus three hundred and fifty-one?
Answer:",-189,-189,True
42,"Question: What is six hundred and eighty-five minus one hundred and sixty-one?
Answer:",524,524,True
43,"Question: What is eight hundred and twenty-three minus one hundred and forty-six?
Answer:",677,677,True
44,"Question: What is eight hundred and one minus thirty-two?
Answer:",769,769,True
45,"Question: What is five hundred and seventy-two minus fourteen?
Answer:",558,558,True
46,"Question: What is one hundred and sixty-eight minus four hundred and eighty-one?
Answer:",-313,-313,True
47,"Question: What is one hundred and sixty-five minus seven hundred and fifty-five?
Answer:",-590,-590,True
48,"Question: What is ninety-four minus eight hundred and seventy-four?
Answer:",-780,-780,True
49,"Question: What is two hundred and eighty-six minus sixty-three?
Answer:",223,223,True
50,"Question: What is two hundred and ninety-eight minus seven hundred and eighty-seven?
Answer:",-489,-489,True
51,"Question: What is eight hundred and fifty-nine minus two hundred and five?
Answer:",654,654,True
52,"Question: What is eight hundred and eighty-three minus two hundred and seven?
Answer:",676,676,True
53,"Question: What is four hundred and fifty-eight minus three hundred and ninety-seven?
Answer:",61,61,True
54,"Question: What is nine hundred and forty-nine minus nine hundred and fifty?
Answer:",-1,-1,True
