problem,expected_answer,gpt4_answer,is_correct
"Question: What is 40649 minus 78746?
Answer:",-38097,-38097,True
"Question: What is 4344 minus 48888?
Answer:",-44544,-44544,True
"Question: What is 21851 minus 67089?
Answer:",-45238,-45238,True
"Question: What is 23935 minus 27571?
Answer:",-3636,-3636,True
"Question: What is 88956 minus 62810?
Answer:",26146,26146,True
"Question: What is 49608 minus 8751?
Answer:",40857,40857,True
"Question: What is 77548 minus 84027?
Answer:",-6479,-6479,True
"Question: What is 52793 minus 91812?
Answer:",-39019,-39019,True
"Question: What is 49097 minus 92714?
Answer:",-43617,-43617,True
"Question: What is 10429 minus 9489?
Answer:",940,940,True
"Question: What is 26781 minus 22604?
Answer:",4177,4177,True
"Question: What is 14629 minus 9574?
Answer:",5055,5055,True
"Question: What is 50108 minus 22566?
Answer:",27542,27542,True
"Question: What is 76332 minus 29974?
Answer:",46358,46358,True
"Question: What is 67219 minus 85108?
Answer:",-17889,-17889,True
"Question: What is 88329 minus 99973?
Answer:",-11644,-11644,True
"Question: What is 81009 minus 2356?
Answer:",78653,78653,True
"Question: What is 26732 minus 31019?
Answer:",-4287,-4287,True
"Question: What is 69659 minus 63838?
Answer:",5821,5821,True
"Question: What is 45906 minus 97909?
Answer:",-52003,-52003,True
"Question: What is 82924 minus 18918?
Answer:",64006,64006,True
"Question: What is 93949 minus 58670?
Answer:",35279,35279,True
"Question: What is 52786 minus 30817?
Answer:",21969,21969,True
"Question: What is 12001 minus 86707?
Answer:",-74706,-74706,True
"Question: What is 95808 minus 48376?
Answer:",47432,47432,True
"Question: What is 28632 minus 15102?
Answer:",13530,13530,True
"Question: What is 71604 minus 17697?
Answer:",53907,53907,True
"Question: What is 31721 minus 51417?
Answer:",-19696,-19696,True
"Question: What is 57836 minus 81357?
Answer:",-23521,-23521,True
"Question: What is 73624 minus 40777?
Answer:",32847,32847,True
"Question: What is 64116 minus 76238?
Answer:",-12122,-12122,True
"Question: What is 78420 minus 77698?
Answer:",722,722,True
"Question: What is 94236 minus 37301?
Answer:",56935,56935,True
"Question: What is 52673 minus 40076?
Answer:",12597,12597,True
"Question: What is 23751 minus 75965?
Answer:",-52214,-52214,True
"Question: What is 29810 minus 76851?
Answer:",-47041,-47041,True
"Question: What is 32333 minus 48026?
Answer:",-15693,-15693,True
"Question: What is 4308 minus 70685?
Answer:",-66377,-66377,True
"Question: What is 40715 minus 69189?
Answer:",-28474,-28474,True
"Question: What is 1284 minus 17381?
Answer:",-16097,-16097,True
"Question: What is 25060 minus 27221?
Answer:",-2161,-2161,True
"Question: What is 86487 minus 20638?
Answer:",65849,65849,True
"Question: What is 35314 minus 65886?
Answer:",-30572,-30572,True
"Question: What is 84354 minus 91057?
Answer:",-6703,-6703,True
"Question: What is 13388 minus 75659?
Answer:",-62271,-62271,True
"Question: What is 57216 minus 60146?
Answer:",-2930,-2930,True
"Question: What is 5847 minus 98442?
Answer:",-92595,-92595,True
"Question: What is 99103 minus 15004?
Answer:",84099,84099,True
"Question: What is 10799 minus 17904?
Answer:",-7105,-7105,True
"Question: What is 82955 minus 32135?
Answer:",50820,50820,True
"Question: What is 11728 minus 97139?
Answer:",-85411,-85411,True
"Question: What is 16370 minus 17276?
Answer:",-906,-906,True
"Question: What is 9582 minus 67688?
Answer:",-58106,-58006,False
"Question: What is 15979 minus 84331?
Answer:",-68352,-68352,True
"Question: What is 1269 minus 62929?
Answer:",-61660,-61660,True
"Question: What is 38700 minus 46859?
Answer:",-8159,-8159,True
"Question: What is 66700 minus 44640?
Answer:",22060,22060,True
"Question: What is 68156 minus 73206?
Answer:",-5050,-5050,True
"Question: What is 61046 minus 3562?
Answer:",57484,57484,True
"Question: What is 77196 minus 24057?
Answer:",53139,53139,True
"Question: What is 42204 minus 85990?
Answer:",-43786,-43786,True
"Question: What is 27115 minus 58479?
Answer:",-31364,-31364,True
"Question: What is 88051 minus 69065?
Answer:",18986,18986,True
"Question: What is 91083 minus 50652?
Answer:",40431,40431,True
"Question: What is 41741 minus 7356?
Answer:",34385,34385,True
"Question: What is 1910 minus 65825?
Answer:",-63915,-63915,True
"Question: What is 98727 minus 64324?
Answer:",34403,34403,True
"Question: What is 1914 minus 87964?
Answer:",-86050,-86050,True
"Question: What is 6794 minus 987?
Answer:",5807,5807,True
"Question: What is 93355 minus 44913?
Answer:",48442,48442,True
"Question: What is 87625 minus 36296?
Answer:",51329,51329,True
"Question: What is 29858 minus 25878?
Answer:",3980,3980,True
"Question: What is 78544 minus 28469?
Answer:",50075,50075,True
"Question: What is 99996 minus 55943?
Answer:",44053,44053,True
"Question: What is 52423 minus 96640?
Answer:",-44217,-44217,True
"Question: What is 93758 minus 24754?
Answer:",69004,69004,True
"Question: What is 58207 minus 1187?
Answer:",57020,57020,True
"Question: What is 60908 minus 40638?
Answer:",20270,20270,True
"Question: What is 60962 minus 29467?
Answer:",31495,31495,True
"Question: What is 63798 minus 35175?
Answer:",28623,28623,True
"Question: What is 83740 minus 33931?
Answer:",49809,49809,True
"Question: What is 64005 minus 94770?
Answer:",-30765,-30765,True
"Question: What is 61988 minus 29001?
Answer:",32987,32987,True
"Question: What is 50862 minus 28796?
Answer:",22066,22066,True
"Question: What is 86683 minus 12618?
Answer:",74065,74065,True
"Question: What is 5706 minus 6849?
Answer:",-1143,-1143,True
"Question: What is 83710 minus 59966?
Answer:",23744,23744,True
"Question: What is 16229 minus 73935?
Answer:",-57706,-57706,True
"Question: What is 79114 minus 486?
Answer:",78628,78628,True
"Question: What is 17045 minus 35838?
Answer:",-18793,-18793,True
"Question: What is 62314 minus 64585?
Answer:",-2271,-2271,True
"Question: What is 33226 minus 17995?
Answer:",15231,15231,True
"Question: What is 34386 minus 51352?
Answer:",-16966,-16966,True
"Question: What is 39349 minus 47226?
Answer:",-7877,-7877,True
"Question: What is 75409 minus 1705?
Answer:",73704,73704,True
"Question: What is 76991 minus 98717?
Answer:",-21726,-21726,True
"Question: What is 46305 minus 1651?
Answer:",44654,44654,True
"Question: What is 43695 minus 777?
Answer:",42918,42918,True
"Question: What is 53529 minus 48431?
Answer:",5098,5098,True
"Question: What is 36356 minus 35521?
Answer:",835,835,True
"Question: What is 87698 minus 27912?
Answer:",59786,59786,True
"Question: What is 59837 minus 46368?
Answer:",13469,13469,True
"Question: What is 63464 minus 21236?
Answer:",42228,42228,True
"Question: What is 47176 minus 31829?
Answer:",15347,15347,True
"Question: What is 14149 minus 64900?
Answer:",-50751,-50751,True
"Question: What is 27803 minus 33431?
Answer:",-5628,-5628,True
"Question: What is 22301 minus 73013?
Answer:",-50712,-50712,True
"Question: What is 84703 minus 11827?
Answer:",72876,72876,True
"Question: What is 83040 minus 86886?
Answer:",-3846,-3846,True
"Question: What is 42074 minus 29565?
Answer:",12509,12509,True
"Question: What is 76897 minus 69746?
Answer:",7151,7151,True
"Question: What is 34553 minus 54675?
Answer:",-20122,-20122,True
"Question: What is 1720 minus 23908?
Answer:",-22188,-22188,True
"Question: What is 81376 minus 45577?
Answer:",35799,35799,True
"Question: What is 62699 minus 59384?
Answer:",3315,3315,True
"Question: What is 55572 minus 81257?
Answer:",-25685,-25685,True
"Question: What is 91890 minus 18363?
Answer:",73527,73527,True
"Question: What is 81281 minus 36129?
Answer:",45152,45152,True
"Question: What is 26768 minus 79472?
Answer:",-52704,-52704,True
"Question: What is 22804 minus 68166?
Answer:",-45362,-45362,True
"Question: What is 4574 minus 90643?
Answer:",-86069,-86069,True
"Question: What is 86523 minus 75895?
Answer:",10628,10628,True
"Question: What is 35156 minus 6967?
Answer:",28189,28189,True
"Question: What is 15246 minus 56646?
Answer:",-41400,-41400,True
"Question: What is 75080 minus 7231?
Answer:",67849,67849,True
"Question: What is 6926 minus 32964?
Answer:",-26038,-26038,True
"Question: What is 86278 minus 30055?
Answer:",56223,56223,True
"Question: What is 35482 minus 67445?
Answer:",-31963,-31963,True
"Question: What is 1458 minus 34503?
Answer:",-33045,-33045,True
"Question: What is 73580 minus 57653?
Answer:",15927,15927,True
"Question: What is 16240 minus 53106?
Answer:",-36866,-36866,True
"Question: What is 84477 minus 94680?
Answer:",-10203,-10203,True
"Question: What is 80250 minus 55238?
Answer:",25012,25012,True
"Question: What is 51477 minus 42371?
Answer:",9106,9106,True
"Question: What is 32493 minus 36491?
Answer:",-3998,-3998,True
