problem,expected_answer,gpt4_answer,is_correct
"Question: What is 17 minus 14?
Answer:",3,3,True
"Question: What is 20 minus 5?
Answer:",15,15,True
"Question: What is 33 minus 88?
Answer:",-55,-55,True
"Question: What is 29 minus 3?
Answer:",26,26,True
"Question: What is 69 minus 49?
Answer:",20,20,True
"Question: What is 7 minus 66?
Answer:",-59,-59,True
"Question: What is 2 minus 1?
Answer:",1,1,True
"Question: What is 11 minus 25?
Answer:",-14,-14,True
"Question: What is 33 minus 7?
Answer:",26,26,True
"Question: What is 22 minus 91?
Answer:",-69,-69,True
"Question: What is 37 minus 19?
Answer:",18,18,True
"Question: What is 37 minus 3?
Answer:",34,34,True
"Question: What is 94 minus 37?
Answer:",57,57,True
"Question: What is 93 minus 9?
Answer:",84,84,True
"Question: What is 86 minus 44?
Answer:",42,42,True
"Question: What is 68 minus 46?
Answer:",22,22,True
"Question: What is 45 minus 50?
Answer:",-5,-5,True
"Question: What is 5 minus 94?
Answer:",-89,-89,True
"Question: What is 85 minus 60?
Answer:",25,25,True
"Question: What is 55 minus 75?
Answer:",-20,-20,True
"Question: What is 36 minus 31?
Answer:",5,5,True
"Question: What is 43 minus 22?
Answer:",21,21,True
"Question: What is 8 minus 21?
Answer:",-13,-13,True
"Question: What is 57 minus 89?
Answer:",-32,-32,True
"Question: What is 12 minus 5?
Answer:",7,7,True
"Question: What is 77 minus 52?
Answer:",25,25,True
"Question: What is 56 minus 80?
Answer:",-24,-24,True
"Question: What is 48 minus 81?
Answer:",-33,-33,True
"Question: What is 22 minus 52?
Answer:",-30,-30,True
"Question: What is 3 minus 16?
Answer:",-13,-13,True
"Question: What is 95 minus 39?
Answer:",56,56,True
"Question: What is 36 minus 81?
Answer:",-45,-45,True
"Question: What is 44 minus 76?
Answer:",-32,-32,True
"Question: What is 5 minus 14?
Answer:",-9,-9,True
"Question: What is 6 minus 7?
Answer:",-1,-1,True
"Question: What is 94 minus 21?
Answer:",73,73,True
"Question: What is 76 minus 93?
Answer:",-17,-17,True
"Question: What is 46 minus 16?
Answer:",30,30,True
"Question: What is 43 minus 59?
Answer:",-16,-16,True
"Question: What is 82 minus 76?
Answer:",6,6,True
"Question: What is 64 minus 56?
Answer:",8,8,True
"Question: What is 29 minus 93?
Answer:",-64,-64,True
"Question: What is 30 minus 23?
Answer:",7,7,True
"Question: What is 48 minus 42?
Answer:",6,6,True
"Question: What is 62 minus 25?
Answer:",37,37,True
"Question: What is 71 minus 74?
Answer:",-3,-3,True
"Question: What is 31 minus 20?
Answer:",11,11,True
"Question: What is 68 minus 42?
Answer:",26,26,True
"Question: What is 23 minus 65?
Answer:",-42,-42,True
"Question: What is 44 minus 26?
Answer:",18,18,True
"Question: What is 25 minus 95?
Answer:",-70,-70,True
"Question: What is 4 minus 61?
Answer:",-57,-57,True
"Question: What is 64 minus 14?
Answer:",50,50,True
"Question: What is 94 minus 42?
Answer:",52,52,True
"Question: What is 40 minus 56?
Answer:",-16,-16,True
"Question: What is 65 minus 18?
Answer:",47,47,True
"Question: What is 89 minus 72?
Answer:",17,17,True
"Question: What is 36 minus 82?
Answer:",-46,-46,True
"Question: What is 3 minus 33?
Answer:",-30,-30,True
"Question: What is 12 minus 45?
Answer:",-33,-33,True
"Question: What is 83 minus 21?
Answer:",62,62,True
"Question: What is 99 minus 17?
Answer:",82,82,True
"Question: What is 96 minus 59?
Answer:",37,37,True
"Question: What is 29 minus 66?
Answer:",-37,-37,True
"Question: What is 47 minus 13?
Answer:",34,34,True
"Question: What is 36 minus 33?
Answer:",3,3,True
"Question: What is 34 minus 27?
Answer:",7,7,True
"Question: What is 62 minus 58?
Answer:",4,4,True
"Question: What is 13 minus 62?
Answer:",-49,-49,True
"Question: What is 71 minus 26?
Answer:",45,45,True
"Question: What is 11 minus 38?
Answer:",-27,-27,True
"Question: What is 58 minus 50?
Answer:",8,8,True
"Question: What is 72 minus 93?
Answer:",-21,-21,True
"Question: What is 52 minus 54?
Answer:",-2,-2,True
"Question: What is 55 minus 82?
Answer:",-27,-27,True
"Question: What is 43 minus 30?
Answer:",13,13,True
"Question: What is 54 minus 21?
Answer:",33,33,True
"Question: What is 36 minus 84?
Answer:",-48,-48,True
"Question: What is 50 minus 2?
Answer:",48,48,True
"Question: What is 5 minus 50?
Answer:",-45,-45,True
"Question: What is 46 minus 97?
Answer:",-51,-51,True
"Question: What is 29 minus 16?
Answer:",13,13,True
"Question: What is 1 minus 97?
Answer:",-96,-96,True
"Question: What is 99 minus 65?
Answer:",34,34,True
"Question: What is 31 minus 25?
Answer:",6,6,True
"Question: What is 21 minus 47?
Answer:",-26,-26,True
"Question: What is 1 minus 93?
Answer:",-92,-92,True
"Question: What is 43 minus 99?
Answer:",-56,-56,True
"Question: What is 39 minus 74?
Answer:",-35,-35,True
"Question: What is 7 minus 65?
Answer:",-58,-58,True
"Question: What is 30 minus 36?
Answer:",-6,-6,True
"Question: What is 53 minus 22?
Answer:",31,31,True
"Question: What is 69 minus 44?
Answer:",25,25,True
"Question: What is 52 minus 20?
Answer:",32,32,True
"Question: What is 48 minus 37?
Answer:",11,11,True
"Question: What is 37 minus 79?
Answer:",-42,-42,True
"Question: What is 9 minus 53?
Answer:",-44,-44,True
"Question: What is 20 minus 30?
Answer:",-10,-10,True
"Question: What is 32 minus 42?
Answer:",-10,-10,True
"Question: What is 29 minus 92?
Answer:",-63,-63,True
"Question: What is 15 minus 86?
Answer:",-71,-71,True
"Question: What is 24 minus 66?
Answer:",-42,-42,True
"Question: What is 95 minus 24?
Answer:",71,71,True
"Question: What is 50 minus 90?
Answer:",-40,-40,True
"Question: What is 26 minus 40?
Answer:",-14,-14,True
"Question: What is 19 minus 1?
Answer:",18,18,True
"Question: What is 48 minus 50?
Answer:",-2,-2,True
"Question: What is 88 minus 53?
Answer:",35,35,True
"Question: What is 72 minus 29?
Answer:",43,43,True
"Question: What is 27 minus 81?
Answer:",-54,-54,True
"Question: What is 54 minus 73?
Answer:",-19,-19,True
"Question: What is 28 minus 67?
Answer:",-39,-39,True
"Question: What is 55 minus 0?
Answer:",55,55,True
"Question: What is 26 minus 64?
Answer:",-38,-38,True
"Question: What is 16 minus 72?
Answer:",-56,-56,True
"Question: What is 42 minus 78?
Answer:",-36,-36,True
"Question: What is 61 minus 50?
Answer:",11,11,True
"Question: What is 27 minus 38?
Answer:",-11,-11,True
"Question: What is 93 minus 78?
Answer:",15,15,True
"Question: What is 44 minus 55?
Answer:",-11,-11,True
"Question: What is 14 minus 85?
Answer:",-71,-71,True
"Question: What is 0 minus 27?
Answer:",-27,-27,True
"Question: What is 19 minus 41?
Answer:",-22,-22,True
"Question: What is 87 minus 97?
Answer:",-10,-10,True
"Question: What is 69 minus 57?
Answer:",12,12,True
"Question: What is 16 minus 19?
Answer:",-3,-3,True
"Question: What is 77 minus 19?
Answer:",58,58,True
"Question: What is 26 minus 73?
Answer:",-47,-47,True
"Question: What is 19 minus 5?
Answer:",14,14,True
"Question: What is 32 minus 2?
Answer:",30,30,True
"Question: What is 7 minus 95?
Answer:",-88,-88,True
"Question: What is 34 minus 57?
Answer:",-23,-23,True
"Question: What is 18 minus 84?
Answer:",-66,-66,True
"Question: What is 95 minus 4?
Answer:",91,91,True
"Question: What is 32 minus 66?
Answer:",-34,-34,True
"Question: What is 24 minus 44?
Answer:",-20,-20,True
"Question: What is 27 minus 73?
Answer:",-46,-46,True
"Question: What is 13 minus 23?
Answer:",-10,-10,True
"Question: What is 79 minus 59?
Answer:",20,20,True
"Question: What is 68 minus 23?
Answer:",45,45,True
"Question: What is 92 minus 25?
Answer:",67,67,True
"Question: What is 96 minus 54?
Answer:",42,42,True
"Question: What is 18 minus 32?
Answer:",-14,-14,True
"Question: What is 93 minus 68?
Answer:",25,25,True
"Question: What is 30 minus 60?
Answer:",-30,-30,True
"Question: What is 79 minus 64?
Answer:",15,15,True
"Question: What is 50 minus 93?
Answer:",-43,-43,True
"Question: What is 88 minus 84?
Answer:",4,4,True
"Question: What is 44 minus 1?
Answer:",43,43,True
"Question: What is 13 minus 65?
Answer:",-52,-52,True
"Question: What is 41 minus 80?
Answer:",-39,-39,True
"Question: What is 48 minus 1?
Answer:",47,47,True
"Question: What is 7 minus 48?
Answer:",-41,-41,True
"Question: What is 86 minus 35?
Answer:",51,51,True
"Question: What is 6 minus 0?
Answer:",6,6,True
"Question: What is 30 minus 15?
Answer:",15,15,True
"Question: What is 34 minus 59?
Answer:",-25,-25,True
"Question: What is 28 minus 43?
Answer:",-15,-15,True
"Question: What is 17 minus 3?
Answer:",14,14,True
"Question: What is 46 minus 76?
Answer:",-30,-30,True
"Question: What is 93 minus 92?
Answer:",1,1,True
"Question: What is 62 minus 17?
Answer:",45,45,True
"Question: What is 98 minus 80?
Answer:",18,18,True
"Question: What is 75 minus 12?
Answer:",63,63,True
"Question: What is 71 minus 52?
Answer:",19,19,True
"Question: What is 33 minus 25?
Answer:",8,8,True
"Question: What is 94 minus 73?
Answer:",21,21,True
"Question: What is 93 minus 11?
Answer:",82,82,True
"Question: What is 43 minus 34?
Answer:",9,9,True
"Question: What is 2 minus 82?
Answer:",-80,-80,True
"Question: What is 50 minus 91?
Answer:",-41,-41,True
"Question: What is 28 minus 26?
Answer:",2,2,True
"Question: What is 80 minus 72?
Answer:",8,8,True
"Question: What is 85 minus 96?
Answer:",-11,-11,True
"Question: What is 35 minus 78?
Answer:",-43,-43,True
"Question: What is 2 minus 50?
Answer:",-48,-48,True
"Question: What is 11 minus 64?
Answer:",-53,-53,True
"Question: What is 99 minus 91?
Answer:",8,8,True
"Question: What is 18 minus 74?
Answer:",-56,-56,True
"Question: What is 18 minus 0?
Answer:",18,18,True
"Question: What is 71 minus 95?
Answer:",-24,-24,True
"Question: What is 71 minus 39?
Answer:",32,32,True
"Question: What is 71 minus 98?
Answer:",-27,-27,True
"Question: What is 70 minus 30?
Answer:",40,40,True
"Question: What is 79 minus 58?
Answer:",21,21,True
"Question: What is 95 minus 49?
Answer:",46,46,True
"Question: What is 26 minus 5?
Answer:",21,21,True
"Question: What is 11 minus 35?
Answer:",-24,-24,True
"Question: What is 44 minus 79?
Answer:",-35,-35,True
"Question: What is 60 minus 54?
Answer:",6,6,True
"Question: What is 33 minus 36?
Answer:",-3,-3,True
"Question: What is 37 minus 1?
Answer:",36,36,True
"Question: What is 66 minus 13?
Answer:",53,53,True
"Question: What is 88 minus 5?
Answer:",83,83,True
"Question: What is 61 minus 95?
Answer:",-34,-34,True
"Question: What is 18 minus 81?
Answer:",-63,-63,True
"Question: What is 38 minus 22?
Answer:",16,16,True
"Question: What is 69 minus 21?
Answer:",48,48,True
"Question: What is 77 minus 91?
Answer:",-14,-14,True
"Question: What is 18 minus 22?
Answer:",-4,-4,True
