problem,expected_answer,gpt4_answer,is_correct
"Question: What is 556 plus 497?
Answer:",1053,1053,True
"Question: What is 108 plus 736?
Answer:",844,844,True
"Question: What is 509 plus 575?
Answer:",1084,1084,True
"Question: What is 339 plus 730?
Answer:",1069,1069,True
"Question: What is 215 plus 270?
Answer:",485,485,True
"Question: What is 526 plus 950?
Answer:",1476,1476,True
"Question: What is 668 plus 670?
Answer:",1338,1338,True
"Question: What is 245 plus 485?
Answer:",730,730,True
"Question: What is 242 plus 362?
Answer:",604,604,True
"Question: What is 905 plus 338?
Answer:",1243,1243,True
"Question: What is 705 plus 404?
Answer:",1109,1109,True
"Question: What is 496 plus 103?
Answer:",599,599,True
"Question: What is 1 plus 657?
Answer:",658,658,True
"Question: What is 895 plus 427?
Answer:",1322,1322,True
"Question: What is 402 plus 348?
Answer:",750,750,True
"Question: What is 395 plus 981?
Answer:",1376,1376,True
"Question: What is 314 plus 26?
Answer:",340,340,True
"Question: What is 772 plus 613?
Answer:",1385,1385,True
"Question: What is 290 plus 331?
Answer:",621,621,True
"Question: What is 893 plus 821?
Answer:",1714,1714,True
"Question: What is 149 plus 503?
Answer:",652,652,True
"Question: What is 312 plus 902?
Answer:",1214,1214,True
"Question: What is 824 plus 338?
Answer:",1162,1162,True
"Question: What is 263 plus 127?
Answer:",390,390,True
"Question: What is 217 plus 137?
Answer:",354,354,True
"Question: What is 884 plus 615?
Answer:",1499,1499,True
"Question: What is 986 plus 767?
Answer:",1753,1753,True
"Question: What is 988 plus 122?
Answer:",1110,1110,True
"Question: What is 131 plus 606?
Answer:",737,737,True
"Question: What is 60 plus 382?
Answer:",442,442,True
"Question: What is 790 plus 298?
Answer:",1088,1088,True
"Question: What is 470 plus 788?
Answer:",1258,1258,True
"Question: What is 973 plus 811?
Answer:",1784,1784,True
"Question: What is 423 plus 239?
Answer:",662,662,True
"Question: What is 774 plus 337?
Answer:",1111,1111,True
"Question: What is 307 plus 647?
Answer:",954,954,True
"Question: What is 890 plus 973?
Answer:",1863,1863,True
"Question: What is 64 plus 564?
Answer:",628,628,True
"Question: What is 437 plus 273?
Answer:",710,710,True
"Question: What is 735 plus 228?
Answer:",963,963,True
"Question: What is 141 plus 317?
Answer:",458,458,True
"Question: What is 51 plus 105?
Answer:",156,156,True
"Question: What is 20 plus 331?
Answer:",351,351,True
"Question: What is 876 plus 791?
Answer:",1667,1667,True
"Question: What is 181 plus 7?
Answer:",188,188,True
"Question: What is 611 plus 292?
Answer:",903,903,True
"Question: What is 716 plus 840?
Answer:",1556,1556,True
"Question: What is 481 plus 532?
Answer:",1013,1013,True
"Question: What is 492 plus 766?
Answer:",1258,1258,True
"Question: What is 362 plus 246?
Answer:",608,608,True
"Question: What is 312 plus 310?
Answer:",622,622,True
