problem,expected_answer,gpt4_answer,is_correct
"Question: What is 98 plus 45?
Answer:",143,143,True
"Question: What is 95 plus 58?
Answer:",153,153,True
"Question: What is 0 plus 25?
Answer:",25,25,True
"Question: What is 72 plus 25?
Answer:",97,97,True
"Question: What is 70 plus 15?
Answer:",85,85,True
"Question: What is 52 plus 23?
Answer:",75,75,True
"Question: What is 36 plus 17?
Answer:",53,53,True
"Question: What is 47 plus 32?
Answer:",79,79,True
"Question: What is 15 plus 45?
Answer:",60,60,True
"Question: What is 10 plus 91?
Answer:",101,101,True
"Question: What is 72 plus 5?
Answer:",77,77,True
"Question: What is 61 plus 40?
Answer:",101,101,True
"Question: What is 64 plus 57?
Answer:",121,121,True
"Question: What is 93 plus 50?
Answer:",143,143,True
"Question: What is 25 plus 2?
Answer:",27,27,True
"Question: What is 99 plus 37?
Answer:",136,136,True
"Question: What is 46 plus 32?
Answer:",78,78,True
"Question: What is 88 plus 43?
Answer:",131,131,True
"Question: What is 15 plus 37?
Answer:",52,52,True
"Question: What is 30 plus 97?
Answer:",127,127,True
"Question: What is 85 plus 65?
Answer:",150,150,True
"Question: What is 85 plus 68?
Answer:",153,153,True
"Question: What is 6 plus 25?
Answer:",31,31,True
"Question: What is 42 plus 64?
Answer:",106,106,True
"Question: What is 28 plus 29?
Answer:",57,57,True
"Question: What is 81 plus 74?
Answer:",155,155,True
"Question: What is 8 plus 28?
Answer:",36,36,True
"Question: What is 80 plus 18?
Answer:",98,98,True
"Question: What is 37 plus 70?
Answer:",107,107,True
"Question: What is 97 plus 68?
Answer:",165,165,True
"Question: What is 9 plus 41?
Answer:",50,50,True
"Question: What is 20 plus 25?
Answer:",45,45,True
"Question: What is 68 plus 88?
Answer:",156,156,True
"Question: What is 40 plus 21?
Answer:",61,61,True
"Question: What is 34 plus 35?
Answer:",69,69,True
"Question: What is 61 plus 75?
Answer:",136,136,True
"Question: What is 60 plus 95?
Answer:",155,155,True
"Question: What is 87 plus 57?
Answer:",144,144,True
"Question: What is 51 plus 23?
Answer:",74,74,True
"Question: What is 78 plus 32?
Answer:",110,110,True
"Question: What is 33 plus 45?
Answer:",78,78,True
"Question: What is 24 plus 16?
Answer:",40,40,True
"Question: What is 22 plus 93?
Answer:",115,115,True
"Question: What is 62 plus 25?
Answer:",87,87,True
"Question: What is 12 plus 13?
Answer:",25,25,True
"Question: What is 61 plus 89?
Answer:",150,150,True
"Question: What is 79 plus 59?
Answer:",138,138,True
"Question: What is 96 plus 2?
Answer:",98,98,True
"Question: What is 20 plus 80?
Answer:",100,100,True
"Question: What is 14 plus 13?
Answer:",27,27,True
"Question: What is 43 plus 50?
Answer:",93,93,True
"Question: What is 90 plus 0?
Answer:",90,90,True
"Question: What is 64 plus 6?
Answer:",70,70,True
"Question: What is 73 plus 42?
Answer:",115,115,True
"Question: What is 97 plus 52?
Answer:",149,149,True
"Question: What is 81 plus 20?
Answer:",101,101,True
"Question: What is 92 plus 34?
Answer:",126,126,True
"Question: What is 14 plus 7?
Answer:",21,21,True
"Question: What is 48 plus 71?
Answer:",119,119,True
"Question: What is 0 plus 24?
Answer:",24,24,True
"Question: What is 88 plus 16?
Answer:",104,104,True
"Question: What is 83 plus 34?
Answer:",117,117,True
"Question: What is 75 plus 20?
Answer:",95,95,True
"Question: What is 85 plus 24?
Answer:",109,109,True
"Question: What is 25 plus 28?
Answer:",53,53,True
"Question: What is 15 plus 5?
Answer:",20,20,True
