problem,expected_answer,gpt4_answer,is_correct
"Question: What is five hundred and nine minus four hundred and eighty-eight?
Answer:",21,21,True
"Question: What is eighty-seven minus two hundred and fifty-one?
Answer:",-164,-164,True
"Question: What is eight hundred and fifty-one minus fifty-six?
Answer:",795,795,True
"Question: What is three hundred and eighty-five minus two hundred and eleven?
Answer:",174,174,True
"Question: What is four hundred and sixty-two minus seven hundred and sixty-two?
Answer:",-300,-300,True
"Question: What is one hundred and five minus eight hundred and forty-six?
Answer:",-741,-741,True
"Question: What is two hundred and ninety-nine minus nine hundred and sixty-five?
Answer:",-666,-666,True
"Question: What is nine hundred and ninety-three minus forty?
Answer:",953,953,True
"Question: What is nine hundred and sixty-five minus two hundred and fifty-four?
Answer:",711,711,True
"Question: What is seven hundred and twenty-five minus nine hundred and sixty-four?
Answer:",-239,-239,True
"Question: What is three hundred and eighty-two minus four hundred and seventy-eight?
Answer:",-96,-96,True
"Question: What is two hundred and twenty-seven minus two hundred and fourteen?
Answer:",13,13,True
"Question: What is two hundred and fifty minus one hundred and four?
Answer:",146,146,True
"Question: What is two hundred and four minus nine hundred and ninety-three?
Answer:",-789,-789,True
"Question: What is three hundred and fifty minus three hundred and thirty-three?
Answer:",17,17,True
"Question: What is four hundred and fifty-eight minus eleven?
Answer:",447,447,True
"Question: What is one hundred and fifty-six minus five hundred and ninety-one?
Answer:",-435,-435,True
"Question: What is six hundred and forty-nine minus seven hundred and thirty-five?
Answer:",-86,-86,True
"Question: What is three hundred and forty-five minus seven hundred and seven?
Answer:",-362,-362,True
"Question: What is three hundred and sixty-nine minus eight hundred and sixty-seven?
Answer:",-498,-498,True
"Question: What is four hundred and eighty-nine minus two hundred and eighty?
Answer:",209,209,True
"Question: What is seven hundred and forty minus eight hundred and sixty-nine?
Answer:",-129,-129,True
"Question: What is six hundred and ninety-one minus two hundred and sixty-five?
Answer:",426,426,True
"Question: What is one hundred and twenty-seven minus three hundred and ninety?
Answer:",-263,-263,True
"Question: What is three hundred and fifty-eight minus eight hundred and sixty-seven?
Answer:",-509,-509,True
"Question: What is eight hundred and ninety-five minus nine hundred and forty-six?
Answer:",-51,-51,True
"Question: What is eight hundred and nine minus two hundred and seventy?
Answer:",539,539,True
"Question: What is thirty-six minus three hundred and twenty?
Answer:",-284,-284,True
"Question: What is six hundred and twenty-six minus nine hundred and ninety-four?
Answer:",-368,-368,True
"Question: What is one hundred and ten minus three hundred and nine?
Answer:",-199,-199,True
"Question: What is three hundred and sixty-eight minus nine hundred and fifty-one?
Answer:",-583,-583,True
"Question: What is four hundred and sixty-two minus seven hundred and thirty-five?
Answer:",-273,-273,True
"Question: What is six hundred and fifty-three minus nine hundred and six?
Answer:",-253,-253,True
"Question: What is five hundred and six minus three hundred and fifty-one?
Answer:",155,155,True
"Question: What is three hundred and sixty-three minus nine hundred and forty-eight?
Answer:",-585,-585,True
"Question: What is seven hundred and seventy-seven minus one hundred and fifty-nine?
Answer:",618,618,True
"Question: What is three minus four hundred and forty-six?
Answer:",-443,-443,True
"Question: What is nine hundred and fifty-nine minus two hundred and ninety-two?
Answer:",667,667,True
"Question: What is three hundred and twenty minus eight hundred and seventy?
Answer:",-550,-550,True
"Question: What is one hundred and fifty-one minus one hundred and forty-four?
Answer:",7,7,True
"Question: What is eight hundred and eighty-nine minus five hundred and sixty-eight?
Answer:",321,321,True
"Question: What is one hundred and sixty-two minus three hundred and fifty-one?
Answer:",-189,-189,True
"Question: What is six hundred and eighty-five minus one hundred and sixty-one?
Answer:",524,524,True
"Question: What is eight hundred and twenty-three minus one hundred and forty-six?
Answer:",677,677,True
"Question: What is eight hundred and one minus thirty-two?
Answer:",769,769,True
"Question: What is five hundred and seventy-two minus fourteen?
Answer:",558,558,True
"Question: What is one hundred and sixty-eight minus four hundred and eighty-one?
Answer:",-313,-313,True
"Question: What is one hundred and sixty-five minus seven hundred and fifty-five?
Answer:",-590,-590,True
"Question: What is ninety-four minus eight hundred and seventy-four?
Answer:",-780,-780,True
"Question: What is two hundred and eighty-six minus sixty-three?
Answer:",223,223,True
"Question: What is two hundred and ninety-eight minus seven hundred and eighty-seven?
Answer:",-489,-489,True
"Question: What is eight hundred and fifty-nine minus two hundred and five?
Answer:",654,654,True
"Question: What is eight hundred and eighty-three minus two hundred and seven?
Answer:",676,676,True
"Question: What is four hundred and fifty-eight minus three hundred and ninety-seven?
Answer:",61,61,True
"Question: What is nine hundred and forty-nine minus nine hundred and fifty?
Answer:",-1,-1,True
"Question: What is one hundred and seventy-seven minus six hundred and ninety?
Answer:",-513,-513,True
"Question: What is six hundred and thirty-five minus seven?
Answer:",628,628,True
"Question: What is six hundred and seventy-one minus twelve?
Answer:",659,659,True
"Question: What is eight hundred and eight minus three hundred and eight?
Answer:",500,500,True
"Question: What is four hundred and seventeen minus five hundred and three?
Answer:",-86,-86,True
